GO_ID	symbol
GO:0000278	NEK2
GO:0000278	PPP2R5C
GO:0000278	CCNB1V
GO:0000278	CCNB2V
GO:0000278	SNX33
GO:0000278	CHMP6
GO:0000278	I3L4J1
GO:0000278	MIS12
GO:0000278	TEX14
GO:0000278	CDKN2A
GO:0000278	EML4-ALK
GO:0000278	K7N7S0
GO:0000278	CDKN2B
GO:0000278	CACNB4
GO:0000278	CDC7
GO:0000278	DCTN6
GO:0000278	FOXN3
GO:0000278	EML1
GO:0000278	EXOC5
GO:0000278	SDCBP
GO:0000278	DDX3X
GO:0000278	E2F3
GO:0000278	PPP6C
GO:0000278	UBE2C
GO:0000278	ARID1A
GO:0000278	DYNC1I1
GO:0000278	PRMT5
GO:0000278	NHERF1
GO:0000278	TERT
GO:0000278	CHEK1
GO:0000278	MEIS2
GO:0000278	PSMA7
GO:0000278	TM4SF5
GO:0000278	KLF11
GO:0000278	EREG
GO:0000278	PPP1R12A
GO:0000278	ARHGEF10
GO:0000278	KIF3B
GO:0000278	UBD
GO:0000278	RAD51B
GO:0000278	TP73
GO:0000278	INPPL1
GO:0000278	HDAC3
GO:0000278	BIRC5
GO:0000278	FGF10
GO:0000278	DAPK3
GO:0000278	WDR62
GO:0000278	KLF4
GO:0000278	RAD51C
GO:0000278	XRCC3
GO:0000278	XRCC2
GO:0000278	PRC1
GO:0000278	ZNF207
GO:0000278	BUB3
GO:0000278	TRIAP1
GO:0000278	ENSA
GO:0000278	p27 kip1
GO:0000278	AKAP8
GO:0000278	O43832
GO:0000278	RAD21
GO:0000278	SMARCA5
GO:0000278	EXOC3
GO:0000278	CDC14B
GO:0000278	BRD4
GO:0000278	HUS1
GO:0000278	ROCK2
GO:0000278	OBSL1
GO:0000278	RNF40
GO:0000278	RAB11FIP3
GO:0000278	ANKRD17
GO:0000278	LRP5
GO:0000278	NME6
GO:0000278	CDC45
GO:0000278	ZNF324
GO:0000278	GMNN
GO:0000278	BANF1
GO:0000278	USP2
GO:0000278	OFD1
GO:0000278	TOM1L1
GO:0000278	RFPL1
GO:0000278	WDHD1
GO:0000278	PIAS1
GO:0000278	DCTN3
GO:0000278	RAD17
GO:0000278	CDK2AP2
GO:0000278	CDKL5
GO:0000278	JTB
GO:0000278	RECQL5
GO:0000278	ACTL6B
GO:0000278	KLHL18
GO:0000278	CDK14
GO:0000278	ZWINT
GO:0000278	KIF20A
GO:0000278	TNKS
GO:0000278	CTDNEP1
GO:0000278	PCNT
GO:0000278	YEATS4
GO:0000278	STAMBP
GO:0000278	FAM107A
GO:0000278	CHEK2
GO:0000278	ACTL6A
GO:0000278	CCNE2
GO:0000278	ABL1
GO:0000278	EGFR
GO:0000278	MYC
GO:0000278	PDGFB
GO:0000278	EGF
GO:0000278	TGFA
GO:0000278	INS
GO:0000278	IGF2
GO:0000278	TNF
GO:0000278	IL1A
GO:0000278	IL1B
GO:0000278	TK1
GO:0000278	TUBB4A
GO:0000278	TP53
GO:0000278	IGF1
GO:0000278	APP
GO:0000278	EDN1
GO:0000278	ITGB1
GO:0000278	INSR
GO:0000278	RB1
GO:0000278	CDK1
GO:0000278	EIF4E
GO:0000278	TUBB
GO:0000278	ABCB1
GO:0000278	ASNS
GO:0000278	INHBA
GO:0000278	PKHD1
GO:0000278	CLTA
GO:0000278	CLTB
GO:0000278	PDGFRB
GO:0000278	WEE2
GO:0000278	TUBA3C
GO:0000278	TUBA3D
GO:0000278	H3Y1
GO:0000278	H3Y2
GO:0000278	MYB
GO:0000278	MYBL1
GO:0000278	MYBL2
GO:0000278	CD28
GO:0000278	PCNA
GO:0000278	TPR
GO:0000278	BMP4
GO:0000278	CCL2
GO:0000278	EDN3
GO:0000278	HGF
GO:0000278	GSPT1
GO:0000278	ATF2
GO:0000278	RPA2
GO:0000278	MUC1
GO:0000278	STMN1
GO:0000278	GJA1
GO:0000278	TAL1
GO:0000278	ERCC2
GO:0000278	BMP7
GO:0000278	SON
GO:0000278	RCC1
GO:0000278	LIG1
GO:0000278	ERCC3
GO:0000278	PSMB1
GO:0000278	RASA1
GO:0000278	CDK11B
GO:0000278	FLNA
GO:0000278	IL10
GO:0000278	KCNA5
GO:0000278	CCNO
GO:0000278	TUBG1
GO:0000278	RPS6KB1
GO:0000278	CFL1
GO:0000278	RRM1
GO:0000278	CCND1
GO:0000278	CCNE1
GO:0000278	CDK2
GO:0000278	APC
GO:0000278	EDNRA
GO:0000278	MCM3
GO:0000278	PSMA1
GO:0000278	PSMA2
GO:0000278	PSMA3
GO:0000278	PSMA4
GO:0000278	PTPN3
GO:0000278	MARK3
GO:0000278	MAP4
GO:0000278	PSMA5
GO:0000278	PSMB4
GO:0000278	PSMB6
GO:0000278	PSMB5
GO:0000278	DUSP1
GO:0000278	RBL1
GO:0000278	PTPN6
GO:0000278	CDC27
GO:0000278	CCND3
GO:0000278	CDC25B
GO:0000278	CLIP1
GO:0000278	AKT1
GO:0000278	CKS2
GO:0000278	MCM4
GO:0000278	CTNNB1
GO:0000278	DRD3
GO:0000278	MYH10
GO:0000278	ARL3
GO:0000278	PPP1CC
GO:0000278	ACVR1B
GO:0000278	NUP62
GO:0000278	BRCA1
GO:0000278	USP8
GO:0000278	CCNF
GO:0000278	BCL6
GO:0000278	CETN2
GO:0000278	CDKN2C
GO:0000278	HTT
GO:0000278	MKI67
GO:0000278	IER3
GO:0000278	BRCC3
GO:0000278	IQGAP1
GO:0000278	ZFP36L2
GO:0000278	NES
GO:0000278	CDC34
GO:0000278	CENPA
GO:0000278	CENPF
GO:0000278	UBE2A
GO:0000278	PSMB3
GO:0000278	PSMB2
GO:0000278	MCM2
GO:0000278	CDKN1C
GO:0000278	MRE11
GO:0000278	DNM2
GO:0000278	CDK7
GO:0000278	KNTC1
GO:0000278	CDK9
GO:0000278	DUSP3
GO:0000278	DNA2
GO:0000278	SMARCA2
GO:0000278	SMARCA4
GO:0000278	BRCA2
GO:0000278	CAV2
GO:0000278	DYNLT3
GO:0000278	CCNH
GO:0000278	NEK3
GO:0000278	NEK4
GO:0000278	CCNG1
GO:0000278	KIF11
GO:0000278	PPP5C
GO:0000278	PLK1
GO:0000278	CLTCL1
GO:0000278	IST1
GO:0000278	BLM
GO:0000278	BCAT1
GO:0000278	GAS1
GO:0000278	AIF1
GO:0000278	GEM
GO:0000278	VCP
GO:0000278	CDKN2D
GO:0000278	FOXA1
GO:0000278	PRMT2
GO:0000278	ARPP19
GO:0000278	SIK1
GO:0000278	CHMP4BP1
GO:0000278	PTEN
GO:0000278	ACTB
GO:0000278	PSMA6
GO:0000278	CKS1B
GO:0000278	PSME3
GO:0000278	YWHAE
GO:0000278	ARF6
GO:0000278	RAB11A
GO:0000278	PPP2CB
GO:0000278	RHOB
GO:0000278	RAN
GO:0000278	RBX1
GO:0000278	GNAI1
GO:0000278	DYNLL1
GO:0000278	DYNLT1
GO:0000278	SKP1
GO:0000278	UBE2I
GO:0000278	PPP2CA
GO:0000278	TUBA1B
GO:0000278	TUBA4A
GO:0000278	TUBB4B
GO:0000278	CCNA1
GO:0000278	RAE1
GO:0000278	PRKDC
GO:0000278	ADAM17
GO:0000278	GPSM2
GO:0000278	LSM11
GO:0000278	ARF1
GO:0000278	H3-3A
GO:0000278	PKD1
GO:0000278	CDK3
GO:0000278	CLTC
GO:0000278	HSF1
GO:0000278	HNRNPU
GO:0000278	SPTBN1
GO:0000278	E2F1
GO:0000278	TFAP4
GO:0000278	KIF23
GO:0000278	ID2
GO:0000278	CENPC
GO:0000278	EIF4G1
GO:0000278	ACVR1
GO:0000278	PSME1
GO:0000278	ZFP36L1
GO:0000278	KHDRBS1
GO:0000278	POLE
GO:0000278	GOLGA2
GO:0000278	RBL2
GO:0000278	MZT1
GO:0000278	SMARCB1
GO:0000278	CDC20
GO:0000278	EPS8
GO:0000278	FOXC1
GO:0000278	ANK3
GO:0000278	DLG1
GO:0000278	CDC16
GO:0000278	IK
GO:0000278	ATM
GO:0000278	DYNC1I2
GO:0000278	ILK
GO:0000278	UNC119
GO:0000278	ROCK1
GO:0000278	TUBB3
GO:0000278	PRP4K
GO:0000278	PIN1
GO:0000278	ATR
GO:0000278	EIF4EBP1
GO:0000278	DCTN2
GO:0000278	PKD2
GO:0000278	NAE1
GO:0000278	IQGAP2
GO:0000278	CUL4A
GO:0000278	CUL4B
GO:0000278	FHL1
GO:0000278	TUBB2A
GO:0000278	CKAP5
GO:0000278	CCNI
GO:0000278	SEPTIN6
GO:0000278	SCRIB
GO:0000278	TTLL12
GO:0000278	TFDP1
GO:0000278	BTG3
GO:0000278	DCTN1
GO:0000278	BECN1
GO:0000278	HES1
GO:0000278	MCM6
GO:0000278	Q14569
GO:0000278	ZNF268
GO:0000278	ESPL1
GO:0000278	MDC1
GO:0000278	MELK
GO:0000278	SMC1A
GO:0000278	GINS1
GO:0000278	LPIN1
GO:0000278	MBTPS1
GO:0000278	KIF22
GO:0000278	GPNMB
GO:0000278	KPNB1
GO:0000278	NOLC1
GO:0000278	NUMA1
GO:0000278	ABRAXAS2
GO:0000278	RRS1
GO:0000278	KIF14
GO:0000278	PTPA
GO:0000278	RAB35
GO:0000278	DLGAP5
GO:0000278	STIL
GO:0000278	TRIP13
GO:0000278	MAPRE1
GO:0000278	TBCE
GO:0000278	PKN2
GO:0000278	DDB1
GO:0000278	CCNG2
GO:0000278	CDKN3
GO:0000278	DDR2
GO:0000278	TPD52L1
GO:0000278	GEN1
GO:0000278	INSC
GO:0000278	TRIM71
GO:0000278	Q2QD04
GO:0000278	CCDC57
GO:0000278	Q2TSD3
GO:0000278	KIF4B
GO:0000278	TUBB8
GO:0000278	CFAP100
GO:0000278	PLK5
GO:0000278	FBXO43
GO:0000278	BCL7A
GO:0000278	Q53ER2
GO:0000278	Q53FE8
GO:0000278	Q53FF5
GO:0000278	C1orf48
GO:0000278	KLHL22
GO:0000278	SETMAR
GO:0000278	Q53HG9
GO:0000278	CDCA8
GO:0000278	Q59ED0
GO:0000278	Q59ED6
GO:0000278	Q59EJ3
GO:0000278	Q59ES5
GO:0000278	Q59HG1
GO:0000278	TFDP3
GO:0000278	DKFZp686K18126
GO:0000278	EFHC1
GO:0000278	SPDYA
GO:0000278	CCNJ
GO:0000278	H3-7
GO:0000278	Q5U0A5
GO:0000278	Q5U0M0
GO:0000278	GFI1B
GO:0000278	ANGEL2
GO:0000278	RNF20
GO:0000278	BROX
GO:0000278	TENT4A
GO:0000278	FBXO31
GO:0000278	KANK2
GO:0000278	HCTP4
GO:0000278	MAP1S
GO:0000278	PPP2R2D
GO:0000278	ARID2
GO:0000278	INTS3
GO:0000278	CDCA2
GO:0000278	DKFZp686M05248
GO:0000278	TTC19
GO:0000278	NCAPH2
GO:0000278	JADE1
GO:0000278	CCSAP
GO:0000278	SDE2
GO:0000278	NIPBL
GO:0000278	MRNIP
GO:0000278	REEP3
GO:0000278	RINT1
GO:0000278	H3-5
GO:0000278	CDC73
GO:0000278	TAF2
GO:0000278	CEP85
GO:0000278	RFWD3
GO:0000278	TUBA3E
GO:0000278	PSRC1
GO:0000278	BORA
GO:0000278	SMARCD3
GO:0000278	SASS6
GO:0000278	EPGN
GO:0000278	ABRAXAS1
GO:0000278	RAD9B
GO:0000278	CCNI2
GO:0000278	Q6ZV00
GO:0000278	STOX1
GO:0000278	TOM1L2
GO:0000278	Q6ZWH1
GO:0000278	ZNF365
GO:0000278	TUBA1A
GO:0000278	RPS27L
GO:0000278	MAEA
GO:0000278	CHMP1B
GO:0000278	H2BW1
GO:0000278	KANSL1
GO:0000278	MYH14
GO:0000278	Q7Z4Z4
GO:0000278	SLFN11
GO:0000278	NPM2
GO:0000278	USP37
GO:0000278	PBRM1
GO:0000278	SAPCD2
GO:0000278	PIM3
GO:0000278	IQGAP3
GO:0000278	NCAPG2
GO:0000278	ANKLE2
GO:0000278	CEP57
GO:0000278	CACUL1
GO:0000278	PHF13
GO:0000278	GPSM1
GO:0000278	CRLF3
GO:0000278	MISP
GO:0000278	CEP97
GO:0000278	DCUN1D3
GO:0000278	ERIC-1s
GO:0000278	SKA3
GO:0000278	SIRT2
GO:0000278	KLHDC8B
GO:0000278	DIS3L2
GO:0000278	EXOC8
GO:0000278	CEP57L1
GO:0000278	KMT2E
GO:0000278	SPART
GO:0000278	RPTOR
GO:0000278	CNTROB
GO:0000278	PDIK1L
GO:0000278	KDM8
GO:0000278	STAG2
GO:0000278	AFAP1L2
GO:0000278	ZNF655
GO:0000278	ANKFN1
GO:0000278	SPC24
GO:0000278	KCNH5
GO:0000278	LSM14A
GO:0000278	CCNY
GO:0000278	MCPH1
GO:0000278	ARID1B
GO:0000278	DBF4B
GO:0000278	KNL1
GO:0000278	NEK11
GO:0000278	TTL
GO:0000278	NEDD1
GO:0000278	HUS1B
GO:0000278	CDC26
GO:0000278	EXOC6
GO:0000278	SMARCC2
GO:0000278	RBM46
GO:0000278	NEK9
GO:0000278	BRSK1
GO:0000278	STK35
GO:0000278	NEK7
GO:0000278	DCAF11
GO:0000278	CEP192
GO:0000278	DYNLRB2
GO:0000278	HASPIN
GO:0000278	PHF10
GO:0000278	PDCD6IP
GO:0000278	BCL7C
GO:0000278	MITD1
GO:0000278	SKA2
GO:0000278	STAG1
GO:0000278	CKAP2
GO:0000278	CCNB3
GO:0000278	PHIP
GO:0000278	PIBF1
GO:0000278	TTN
GO:0000278	TOPBP1
GO:0000278	BAP1
GO:0000278	DPF1
GO:0000278	DPF3
GO:0000278	DPF2
GO:0000278	KAT2B
GO:0000278	RAD50
GO:0000278	SMARCC1
GO:0000278	SMARCD2
GO:0000278	ARHGEF2
GO:0000278	KAT5
GO:0000278	CUL5
GO:0000278	SMARCE1
GO:0000278	FBXW7
GO:0000278	LSM10
GO:0000278	FBXW5
GO:0000278	EXOC4
GO:0000278	E2F7
GO:0000278	EME1
GO:0000278	TTC28
GO:0000278	SKA1
GO:0000278	PINX1
GO:0000278	CENPT
GO:0000278	CHMP4C
GO:0000278	TUBGCP3
GO:0000278	RMDN1
GO:0000278	ANAPC16
GO:0000278	MTBP
GO:0000278	PABIR1
GO:0000278	SIRT1
GO:0000278	SEH1L
GO:0000278	CHFR
GO:0000278	DYNLL2
GO:0000278	PDXP
GO:0000278	AURKB
GO:0000278	SMARCD1
GO:0000278	MASTL
GO:0000278	Q96GZ3
GO:0000278	BOD1
GO:0000278	CDK5RAP3
GO:0000278	ZFYVE19
GO:0000278	PBK
GO:0000278	EXOC2
GO:0000278	Q96LE1
GO:0000278	UBE2E2
GO:0000278	NSMCE2
GO:0000278	HEXIM2
GO:0000278	PRICKLE1
GO:0000278	ZNF830
GO:0000278	MUS81
GO:0000278	PRAP1
GO:0000278	KIF20B
GO:0000278	PPP1R10
GO:0000278	SPAG5
GO:0000278	BBS4
GO:0000278	UIMC1
GO:0000278	TUBGCP6
GO:0000278	TUBGCP5
GO:0000278	PPP1R9B
GO:0000278	CDK5RAP2
GO:0000278	SETDB2
GO:0000278	UHRF1
GO:0000278	Q96TE0
GO:0000278	PSMB7
GO:0000278	PHOX2B
GO:0000278	LGMN
GO:0000278	TSNAX
GO:0000278	RAD9A
GO:0000278	PKMYT1
GO:0000278	RBBP8
GO:0000278	BARD1
GO:0000278	CDC6
GO:0000278	NKX3-1
GO:0000278	CIB1
GO:0000278	VRK1
GO:0000278	FAM110A
GO:0000278	HINFP
GO:0000278	TUBA1C
GO:0000278	BCL7B
GO:0000278	ANAPC13
GO:0000278	TUBGCP2
GO:0000278	RTKN
GO:0000278	WAC
GO:0000278	NAT9
GO:0000278	FSD1
GO:0000278	TBCD
GO:0000278	TUBB6
GO:0000278	CEP250
GO:0000278	TUBB2B
GO:0000278	AFG2B
GO:0000278	RIOK2
GO:0000278	TIPIN
GO:0000278	KIFC1
GO:0000278	USP26
GO:0000278	FANCD2
GO:0000278	SETD2
GO:0000278	NUF2
GO:0000278	GTPBP4
GO:0000278	AMBRA1
GO:0000278	NDEL1
GO:0000278	NAA50
GO:0000278	USP44
GO:0000278	RACGAP1
GO:0000278	ENKD1
GO:0000278	RAB6C
GO:0000278	CCDC8
GO:0000278	ANAPC1
GO:0000278	CDT1
GO:0000278	CENPH
GO:0000278	SMOC2
GO:0000278	FBXL15
GO:0000278	WNK1
GO:0000278	TUBB1
GO:0000278	RGCC
GO:0000278	CCDC86
GO:0000278	REEP4
GO:0000278	YTHDC2
GO:0000278	NRDE2
GO:0000278	CCNP
GO:0000278	ECT2
GO:0000278	CLSPN
GO:0000278	USP29
GO:0000278	SPC25
GO:0000278	CPAP
GO:0000278	NEK6
GO:0000278	TRIM39
GO:0000278	RANGRF
GO:0000278	DYNLRB1
GO:0000278	FZD3
GO:0000278	BRD7
GO:0000278	PLCB1
GO:0000278	TRIM36
GO:0000278	CYLD
GO:0000278	KMT5A
GO:0000278	AVEN
GO:0000278	INCENP
