marker,HSPE1,HSP90AA1,HSPD1,STOML2,CYCS,MRPL12,TIMM13,C1QBP,MRPS12,TOMM40,CYC1,CHCHD2,GCSH,MRPL57,GADD45GIP1
ZEB1,0.01626066336346379,0.014819573199088092,0.013795247751063226,0.0007133145544087686,0.002397006133805475,0.01173056884932356,0.009016408679311139,0.01219783244354636,0.009203691678857928,0.009115202026255992,0.010428410691822562,0.010121989153054492,0.007814537093346749,0.01168542408979738,0.009380572318266814
SNAI1,0.007169933270714896,0.0047651725873460405,0.011592906185723735,0.0033317931939191637,-0.0018364417314104078,0.005643744951724444,0.0022540308808839207,0.009358241215179227,0.00021167190921036157,0.007339061056419301,0.004342538310243466,0.0012646600328550402,0.004872782548959552,0.0031506948058543766,-0.0016541823980511328
SNAI2,0.11232854977168863,0.07864055511057455,0.18137117029725924,0.050652251124853796,0.03353350134644659,0.08510184871886829,0.07999956161164878,0.13212310197470764,0.050969836923076585,0.06838663029779116,0.08990481984711328,0.04710954624439335,0.08120137978770449,0.08604509078239145,0.024520427915976847
TWIST1,-0.006161608431374311,-0.00642821856087456,-0.008035916312954309,-0.00651843240157098,-0.002862807554999481,-0.005633667732911441,-0.01055878372215619,-0.010436802088937385,-0.007662613391323379,-0.01095520891666017,-0.00780760683579242,-0.004735129037316376,-0.0020174137333863833,-0.0051676624660026435,-0.006437189916979736
SERPINE1,0.3562197969979376,0.22976153535461305,0.4595044646363997,0.2770312225345963,0.18719573966861136,0.28783877448423295,0.2833604428200232,0.3727572715075124,0.1784989123580611,0.19962845401864507,0.2665473806651591,0.1856332710784415,0.2496732163697737,0.23822827831823387,0.18316097304795026
LOXL2,0.01357318166700982,0.020563675542683714,0.012419751714834584,0.0052855560198394064,0.01149270302924624,0.01103701582568122,0.0048102549547951465,0.019250520706648188,0.005491326972802611,0.003735379559194781,0.007962364069832684,0.009591638507726643,0.007138440639059089,0.001767187265430528,0.01583953651511806
LAMC2,0.3711018365385279,0.3043328801224193,0.5386729096474582,0.28955083552225186,0.199006365669861,0.3083913871667551,0.33664411582300624,0.43376938099508494,0.21703151942868001,0.21718248401259732,0.3467174658151387,0.23638052371937296,0.2629311405048136,0.2679473545399568,0.18485502708209328
TGFBI,0.4731342000985551,0.4225946284425941,0.6096337544854616,0.3979998292251233,0.31588244701133705,0.45242154276103996,0.4424301593163345,0.5356517621963464,0.3607476199512884,0.37232567284818796,0.4231719641873886,0.28795622745538957,0.3664073600561882,0.42906622557946755,0.23955423759953579
COL1A1,0.04428423469596668,0.03872374647829167,0.0771158707240813,0.03385608288771416,0.0249502978937841,0.03884414332657649,0.037226984393148525,0.06918929004134082,0.03024808057449641,0.025834213051064942,0.03745784078156121,0.015644998582817614,0.03412010648952849,0.030187176238083698,0.010960917068461909
ITGAV,0.2245347591767745,0.19817174372296367,0.23939182448035257,0.15985045156205197,0.12256056242722597,0.1524138547888571,0.1746795735271743,0.16576441078014487,0.13558144529066404,0.12820802084321878,0.12641214524338668,0.11896732187595246,0.14900832821215848,0.13167726928106982,0.10255258678183071
MMP2,0.03775859046015759,0.03421714993904807,0.04663535916753346,0.025741847439306423,0.025612891423274546,0.04526337116454956,0.03285301460541612,0.04769783490763655,0.022169930329486182,0.030773715155697073,0.03802771419494839,0.029435509839121247,0.0412671950716244,0.0366739458669748,0.005358203284021349
MMP14,0.093943156222556,0.07976570239929724,0.1311155673906266,0.08588375100563943,0.05203820145090608,0.07067703565795844,0.07804641961558309,0.1070922967170615,0.0622119317115347,0.05028384457810489,0.08523938210734114,0.06168523518839784,0.08143631133053614,0.046400231457316456,0.05141472803670241
