gene,mitochondrial,mtdna_encoded,reference_only,mean_log_expr_training,clamp_delta,score_emt,score_migration_independent,score_invasion_independent,score_epithelial,z_emt,z_migration_independent,z_invasion_independent,z_epithelial,z_combined,z_combined_count_only,z_combined_quintile,z_combined_half_a,z_combined_half_b,p_empirical,fdr_bh,spearman_with_epithelial_state,direction_primary,direction_count_only,direction_quintile,stable_halves,called
ACTB,False,False,True,3.378814357445249,-0.6746827163740505,-0.03581701192430722,0.0021115114467801753,-0.01587191687281387,-0.04366942134478299,-1.8880373252188123,-0.15887582283635995,-1.191133381407225,-2.485161074050846,-0.7528854554115512,-0.6291106618311275,-0.7916006216987475,-0.5233437149534015,-0.9672785551267697,0.684863523573201,,-0.0831441703238027,False,False,False,False,False
CDH1,False,False,True,0.19135926960916666,-0.2049194367155261,-0.009410857776114088,-0.006156283869202862,-0.009821597746509859,-0.00891958121589036,-0.6572838212130628,-1.053333586782983,-0.8501546254925304,-0.6798557393573524,-1.8809162941312239,-1.854898888277099,-3.020255091033845,-1.8705681833682668,-1.7466835567190917,0.8839950372208437,,0.39497638344060243,False,False,False,False,False
GAPDH,False,False,True,4.109573850336559,-0.4935532233080095,0.015717604363669757,-0.005574201013409458,-0.01151143656548408,-0.027620023646741786,0.5139182650601094,-0.9903605075367987,-0.9453891290222926,-1.6513712443589137,0.22953987285993183,0.3805072647546699,0.40132506630230336,0.40150310806918554,-0.03706788141901929,0.40074441687344914,,0.13915196350374626,False,False,False,False,False
SNAI1,False,False,True,0.04003936173508186,-0.0464383378722814,-0.0012360257224803418,-0.00011368927308443776,-0.0005517849494182964,-0.0006492612764577876,-0.2762664591919184,-0.3996108657534047,-0.3277343747370538,-0.25020044739341246,-0.7534112522889644,-0.7633157714587469,-0.8690433001382245,-0.7152337396476879,-0.753710072583676,0.684863523573201,,-0.03355688861499155,False,False,False,False,False
TGFB1,False,False,True,0.5106195759395221,-0.5239307355599518,-0.015449947077112365,-0.004762937103324318,-0.013627490992488746,-0.009385075246956993,-0.9387572336795219,-0.9025933005302872,-1.064643930447717,-0.70403883932085,-2.2019556253366765,-2.21350677998769,-2.8351401371253573,-1.9484883898940089,-2.392465164204955,0.9106699751861043,,-0.08238057832427442,False,False,False,False,False
VIM,False,False,True,2.0630505377907506,-1.4646396650794766,-0.10231903344682224,-0.01906153683445944,-0.04569981873037516,-0.0663055743086025,-4.987602508129085,-2.44949825575513,-2.8721489864716596,-3.6611425332732765,-6.6481072170825986,-6.501062909371512,-4.8168641114737305,-6.349737361117732,-7.085681982769914,0.9944168734491315,,-0.5728870016705526,False,False,False,False,False
ZEB1,False,False,True,0.04090800638160137,-0.04801194840002496,-0.002112485070924265,-0.0005256276997461659,-0.0010645026638952954,-0.0008386956388653414,-0.317116990025079,-0.4441767397153836,-0.35662968501213177,-0.26004184130371916,-0.8578815734488752,-0.8586588169613482,-1.3791719898266337,-0.8770823374569519,-0.7646022391828157,0.705955334987593,,-0.11458282875073546,False,False,False,False,False
