GO_ID	symbol
GO:0007409	EMB
GO:0007409	POTEE
GO:0007409	ISLR2
GO:0007409	UNC5D
GO:0007409	FAT4
GO:0007409	DCHS2
GO:0007409	UNC5A
GO:0007409	ARK2C
GO:0007409	MARK2
GO:0007409	RUFY3
GO:0007409	CYFIP1
GO:0007409	PLPPR4
GO:0007409	DKFZp686J1169
GO:0007409	TRIM46
GO:0007409	KIF21A
GO:0007409	MEGF8
GO:0007409	MYPN
GO:0007409	ARHGEF25
GO:0007409	AMIGO1
GO:0007409	ZDHHC17
GO:0007409	SIAH1
GO:0007409	TIAM2
GO:0007409	CDKL3
GO:0007409	SLITRK4
GO:0007409	BRSK2
GO:0007409	CNTN4
GO:0007409	ULK2
GO:0007409	UNC5B
GO:0007409	ENAH
GO:0007409	HMCN2
GO:0007409	SEMA6D
GO:0007409	DSCAML1
GO:0007409	BRSK1
GO:0007409	ARHGEF40
GO:0007409	PARD3
GO:0007409	USP33
GO:0007409	TSKU
GO:0007409	PALLD
GO:0007409	ATL1
GO:0007409	AUTS2
GO:0007409	ROBO4
GO:0007409	SLC9A6
GO:0007409	TNR
GO:0007409	NRCAM
GO:0007409	NEO1
GO:0007409	FGF13
GO:0007409	USP9X
GO:0007409	ISL2
GO:0007409	RGMA
GO:0007409	NTNG2
GO:0007409	KIFBP
GO:0007409	CYFIP2
GO:0007409	NOLC1
GO:0007409	MAP6
GO:0007409	SPG11
GO:0007409	C9orf72
GO:0007409	PRICKLE1
GO:0007409	DOCK7
GO:0007409	ADCY10
GO:0007409	SLITRK1
GO:0007409	PLEKHG4B
GO:0007409	SIN3A
GO:0007409	NELL2
GO:0007409	PHOX2B
GO:0007409	C12orf57
GO:0007409	FEZ1
GO:0007409	OLFM1
GO:0007409	SMO
GO:0007409	FOXB1
GO:0007409	SEMA3C
GO:0007409	DPYSL5
GO:0007409	TUBB2B
GO:0007409	BOC
GO:0007409	CDHR2
GO:0007409	PARD6B
GO:0007409	YTHDF1
GO:0007409	POTEKP
GO:0007409	RTN4R
GO:0007409	SEMA4C
GO:0007409	SLITRK2
GO:0007409	SPTBN4
GO:0007409	SEMA6A
GO:0007409	ADNP
GO:0007409	SEMA4A
GO:0007409	SEMA6C
GO:0007409	SEMA6B
GO:0007409	ACTL8
GO:0007409	SLITRK6
GO:0007409	CHODL
GO:0007409	NTN4
GO:0007409	LGR6
GO:0007409	SMURF1
GO:0007409	LRRC4C
GO:0007409	PLXNA4
GO:0007409	CELSR2
GO:0007409	PTPRH
GO:0007409	FZD3
GO:0007409	SEMA4B
GO:0007409	LHX9
GO:0007409	RTN4
GO:0007409	KIF13B
GO:0007409	DISC1
GO:0007409	ARHGAP35
GO:0007409	SEMA3G
GO:0007409	TENM2
